date,value
3/25/2020,6768.49
3/24/2020,6502.16
3/23/2020,5822.62
3/22/2020,6189.85
3/21/2020,6226.44
3/20/2020,6195.2
3/19/2020,5410.23
3/18/2020,5357.61
3/17/2020,5026.35
3/16/2020,5348.44
3/15/2020,5166.26
3/14/2020,5609.03
3/13/2020,4830.21
3/12/2020,7936.65
3/11/2020,7885.46
3/10/2020,7931.94
3/9/2020,8039.38
3/8/2020,8898.63
3/7/2020,9155.89
3/6/2020,9067.39
3/5/2020,8758.9
3/4/2020,8754.34
3/3/2020,8912.82
3/2/2020,8912.82
3/1/2020,8534.17
2/29/2020,8712.35
2/28/2020,8804.72
2/27/2020,8785.52
2/26/2020,9309.15
2/25/2020,9663.75
2/24/2020,9989.39
2/23/2020,9669.63
2/22/2020,9696.58
2/21/2020,9606.86
2/20/2020,9604.72
2/19/2020,10180.65
2/18/2020,9703.93
2/17/2020,9937.67
2/16/2020,9904.17
2/15/2020,10368.53
2/14/2020,10242.43
2/13/2020,10354.3
2/12/2020,10275.38
2/11/2020,9854.79
2/10/2020,10162.41
2/9/2020,9907.12
2/8/2020,9807.54
2/7/2020,9755.66
2/6/2020,9614.9
2/5/2020,9162.14
2/4/2020,9162.14
2/3/2020,9314.56
2/2/2020,9378.09
2/1/2020,9333.77
1/31/2020,9502.37
1/30/2020,9279.81
1/29/2020,9385.69
1/28/2020,8895.78
1/27/2020,8588.42
1/26/2020,8327.36
1/25/2020,8428.17
1/24/2020,8388.11
1/23/2020,8658.94
1/22/2020,8722.26
1/21/2020,8626.47
1/20/2020,8703.36
1/19/2020,8910.85
1/18/2020,8900.34
1/17/2020,8722.03
1/16/2020,8813.89
1/15/2020,8842.42
1/14/2020,8105.24
1/13/2020,8173.97
1/12/2020,8021.49
1/11/2020,8184.66
1/10/2020,7817.92
1/9/2020,8042.65
1/8/2020,8165.47
1/7/2020,7759.24
1/6/2020,7351.57
1/5/2020,7347.89
1/4/2020,7326.35
1/3/2020,6944.33
1/2/2020,7175.68
1/1/2020,7168.31
12/31/2019,7219.6
12/30/2019,7385.36
12/29/2019,7301.07
12/28/2019,7243.93
12/27/2019,7194.4
12/26/2019,7192.72
12/25/2019,7250.69
12/24/2019,7322.08
12/23/2019,7514.41
